list
// Top rectangle
0.1 0.4 
0.5 0.4 
0.5 0.4 
0.5 0.15 
0.5 0.15 
0.1 0.15 
0.1 0.15 
0.1 0.4 
// Bottom rectangle
0.1 -0.4 
0.5 -0.4 
0.5 -0.4 
0.5 -0.15 
0.5 -0.15 
0.1 -0.15 
0.1 -0.15 
0.1 -0.4 
// Center structure
-0.6 0.0 
0.6 0.0 
-0.5 0.3 
-0.5 -0.3 
// Top structure
-0.5 0.3 
-0.25 0.3 
-0.25 0.3 
0.6 0.0 
-0.25 0.3 
0.5 0.15 
0.5 0.15 
0.0 0.0 
0.0 0.0 
-0.5 0.3 
// Bottom structure
-0.5 -0.3 
-0.25 -0.3 
-0.25 -0.3 
0.6 0.0 
-0.25 -0.3 
0.5 -0.15 
0.5 -0.15 
0.0 -0.0 
0.0 0.0 
-0.5 -0.3
