list
// Back rectangle
-0.5 0.25
-0.5 -0.25
-0.5 -0.25
-0.35 -0.25
-0.35 -0.25
-0.35 0.25
-0.35 0.25
-0.5 0.25
// Middle rectangle
-0.20 0.08
-0.20 -0.08
-0.20 -0.08
0.15 -0.08
0.15 -0.08
0.15 0.08
0.15 0.08
-0.20 0.08
// Front rectangle
0.2 0.17
0.35 0.17
0.35 0.17
0.35 -0.17
0.35 -0.17
0.2 -0.17
0.2 -0.17
0.2 0.17
// Diagonal lines
-0.35 -0.25
0.15 0.08
-0.35 0.25
0.15 -0.08
0.15 0.08
-0.5 0.15
0.15 -0.08
-0.5 -0.15
-0.35 -0.25
0.2 -0.17
-0.35 0.25
0.2 0.17
// Front diagonal lines
0.2 0.17
0.35 0
0.2 -0.17
0.35 0
// Front line
0 0
0.47 0
