list
// Front rectangles
-0.25 0.35
0.35 0.35
0.35 0.35
0.35 -0.35
0.35 -0.35
-0.25 -0.35
0.05 -0.35
0.05 0.35
0.20 0.35
0.20 -0.35
// Center diagonal lines
0.05 0.35
0 0
0.05 -0.35
0 0
// Back shape
-0.25 0.35
-0.25 0.20
-0.25 -0.35
-0.25 -0.20
-0.25 0.20
-0.45 0.20
-0.25 -0.20
-0.45 -0.20
-0.45 0.20
-0.45 -0.20
// Central line
0 0
0.55 0
// Wings
-0.45 0.30
0.55 0
-0.45 -0.30
0.55 0
-0.45 0.53
0.55 0
-0.45 -0.53
0.55 0
// Back wings
-0.8 -0.15
-0.45 -0.53
-0.8 -0.15
-0.45 -0.30
-0.8 0.15
-0.45 0.53
-0.8 0.15
-0.45 0.30
